ImmutableMultiDict([('username', 'igor'), ('email', 'mail'), ('message', 'HELLO')])
ImmutableMultiDict([('username', 'igor'), ('email', 'MAIL'), ('message', 'hello')])
ImmutableMultiDict([('username', 'igor'), ('email', 'aaa'), ('message', 'hhh')])

ImmutableMultiDict([('username', '1'), ('email', '2'), ('message', '')])
ImmutableMultiDict([('username', '1'), ('email', '2'), ('message', '3')])
ImmutableMultiDict([('username', 'igor'), ('email', 'email'), ('message', 'FLASH')])
ImmutableMultiDict([('username', 'igor'), ('email', 'email'), ('message', 'FLASH')])
ImmutableMultiDict([('username', 'igor'), ('email', 'email'), ('message', 'FLASH')])
ImmutableMultiDict([('username', 'gari'), ('email', 'bari'), ('message', 'hi')])
ImmutableMultiDict([('username', 'igor'), ('email', 'goo'), ('message', 'hiii')])
ImmutableMultiDict([('username', '1'), ('email', '2'), ('message', '3')])
ImmutableMultiDict([('username', '1'), ('email', '2'), ('message', '3')])
ImmutableMultiDict([('username', 'cc'), ('email', 'cc'), ('message', 'c')])
